index;type;minority_decision;majority_decision
701;BORDERLINE;4=>5;4=>5
190;BORDERLINE;4=>5;4=>5
705;BORDERLINE;4=>5;4=>5
450;BORDERLINE;4=>5;4=>5
706;BORDERLINE;4=>5;4=>5
708;BORDERLINE;4=>5;4=>5
710;BORDERLINE;4=>5;4=>5
966;BORDERLINE;4=>5;4=>5
967;BORDERLINE;4=>5;4=>5
458;BORDERLINE;4=>5;4=>5
715;BORDERLINE;4=>5;4=>5
204;BORDERLINE;4=>5;4=>5
461;BORDERLINE;4=>5;4=>5
207;BORDERLINE;4=>5;4=>5
719;BORDERLINE;4=>5;4=>5
720;BORDERLINE;4=>5;4=>5
722;BORDERLINE;4=>5;4=>5
467;BORDERLINE;4=>5;4=>5
987;BORDERLINE;4=>5;4=>5
220;BORDERLINE;4=>5;4=>5
735;BORDERLINE;4=>5;4=>5
480;BORDERLINE;4=>5;4=>5
481;BORDERLINE;4=>5;4=>5
482;BORDERLINE;4=>5;4=>5
227;BORDERLINE;4=>5;4=>5
740;BORDERLINE;4=>5;4=>5
485;BORDERLINE;4=>5;4=>5
486;BORDERLINE;4=>5;4=>5
742;BORDERLINE;4=>5;4=>5
490;BORDERLINE;4=>5;4=>5
747;BORDERLINE;4=>5;4=>5
748;BORDERLINE;4=>5;4=>5
495;BORDERLINE;4=>5;4=>5
240;BORDERLINE;4=>5;4=>5
